,Brand_name,Trend_Total_Reviews,Month,Year,%positive
391,deborah,28,9,2017,78.57142857142857
392,deborah,9,10,2017,88.88888888888889
393,deborah,27,11,2017,96.29629629629629
394,deborah,3,12,2017,66.66666666666666
395,sivanna,3,2,2017,33.33333333333333
396,sivanna,1,4,2017,100.0
397,sivanna,1,5,2017,100.0
398,sivanna,1,6,2017,100.0
399,br,3,1,2017,66.66666666666666
400,br,9,2,2017,22.22222222222222
401,br,4,3,2017,75.0
402,br,11,5,2017,27.27272727272727
403,br,2,6,2017,0.0
404,br,2,7,2017,0.0
405,br,5,9,2017,20.0
406,br,6,10,2017,33.33333333333333
407,br,2,11,2017,0.0
408,makeup,311,1,2017,86.81672025723472
409,makeup,180,2,2017,94.44444444444444
410,makeup,259,3,2017,69.4980694980695
411,makeup,188,4,2017,92.5531914893617
412,makeup,204,5,2017,81.37254901960785
413,makeup,233,6,2017,81.54506437768241
414,makeup,307,7,2017,79.47882736156352
415,makeup,271,8,2017,81.18081180811808
416,makeup,371,9,2017,87.06199460916442
417,makeup,268,10,2017,89.92537313432835
418,makeup,263,11,2017,83.26996197718631
419,makeup,270,12,2017,85.92592592592592
420,mua,4,2,2017,100.0
421,mua,5,4,2017,100.0
422,mua,2,5,2017,100.0
423,mua,2,6,2017,0.0
424,mua,1,7,2017,100.0
425,mua,6,10,2017,100.0
426,mua,3,11,2017,66.66666666666666
427,balm,4,3,2017,100.0
428,freedom,24,1,2017,95.83333333333334
429,freedom,7,2,2017,85.71428571428571
430,freedom,37,3,2017,91.8918918918919
431,freedom,16,4,2017,93.75
432,freedom,26,5,2017,92.3076923076923
433,freedom,43,6,2017,90.69767441860465
434,freedom,15,7,2017,66.66666666666666
435,freedom,26,8,2017,84.61538461538461
436,freedom,24,9,2017,87.5
437,freedom,24,10,2017,83.33333333333334
438,freedom,24,11,2017,100.0
439,freedom,36,12,2017,80.55555555555556
440,vlcc,12,1,2017,91.66666666666666
441,vlcc,11,2,2017,90.9090909090909
442,vlcc,2,3,2017,100.0
443,vlcc,8,4,2017,62.5
444,vlcc,3,5,2017,33.33333333333333
445,vlcc,5,6,2017,100.0
446,vlcc,4,7,2017,100.0
447,vlcc,17,8,2017,94.11764705882352
448,vlcc,19,9,2017,68.42105263157895
449,vlcc,25,10,2017,76.0
450,vlcc,23,11,2017,47.82608695652174
451,vlcc,10,12,2017,90.0
452,shahnaz,3,3,2017,100.0
453,shahnaz,2,5,2017,100.0
454,shahnaz,2,6,2017,0.0
455,mac,1,3,2017,100.0
456,mac,3,5,2017,33.33333333333333
457,mac,6,10,2017,0.0
458,mac,2,12,2017,50.0
459,soultree,1,1,2017,100.0
460,soultree,10,2,2017,80.0
461,soultree,2,3,2017,50.0
462,soultree,5,5,2017,100.0
463,soultree,7,8,2017,100.0
464,soultree,73,9,2017,93.15068493150685
465,soultree,2,11,2017,100.0
466,iba,11,5,2017,72.72727272727273
467,iba,5,6,2017,80.0
468,iba,4,8,2017,75.0
469,iba,4,9,2017,100.0
470,iba,5,11,2017,100.0
471,iba,5,12,2017,60.0
472,plum,249,1,2017,86.74698795180723
473,plum,336,2,2017,82.44047619047619
474,plum,251,3,2017,80.87649402390437
475,plum,216,4,2017,84.25925925925925
476,plum,228,5,2017,85.08771929824562
477,plum,304,6,2017,83.55263157894737
478,plum,280,7,2017,85.0
479,plum,184,8,2017,79.8913043478261
480,plum,191,9,2017,84.29319371727748
481,plum,267,10,2017,85.39325842696628
482,plum,206,11,2017,72.33009708737865
483,plum,175,12,2017,78.85714285714286
484,glitters,2,1,2017,50.0
485,glitters,1,3,2017,0.0
486,glitters,2,5,2017,100.0
487,glitters,3,6,2017,33.33333333333333
488,glitters,1,9,2017,100.0
489,glitters,4,10,2017,50.0
490,glitters,1,11,2017,100.0
491,glitters,1,12,2017,100.0
492,high,7,1,2017,85.71428571428571
493,high,6,2,2017,0.0
494,high,16,3,2017,75.0
495,high,22,4,2017,72.72727272727273
496,high,42,5,2017,83.33333333333334
497,high,30,6,2017,86.66666666666667
498,high,43,7,2017,79.06976744186046
499,high,23,8,2017,69.56521739130434
500,high,54,9,2017,75.92592592592592
501,high,23,10,2017,39.130434782608695
502,high,16,11,2017,62.5
503,high,15,12,2017,86.66666666666667
504,bonjour,1,6,2017,0.0
505,amura,1,6,2017,100.0
506,amura,2,7,2017,100.0
507,amura,1,8,2017,100.0
508,amura,1,11,2017,0.0
509,cover,2,1,2017,0.0
510,cover,6,2,2017,33.33333333333333
511,cover,1,3,2017,0.0
512,cover,1,4,2017,0.0
513,cover,6,5,2017,66.66666666666666
514,cover,4,7,2017,25.0
515,cover,4,9,2017,25.0
516,cover,1,10,2017,100.0
517,personi,2,2,2017,50.0
518,personi,2,4,2017,0.0
519,smolder,3,1,2017,100.0
520,smolder,6,3,2017,33.33333333333333
521,smolder,9,6,2017,44.44444444444444
522,bobbi,34,1,2017,88.23529411764706
523,bobbi,9,2,2017,55.55555555555556
524,bobbi,16,3,2017,50.0
525,bobbi,18,5,2017,83.33333333333334
526,bobbi,4,6,2017,100.0
527,bobbi,24,7,2017,87.5
528,bobbi,33,8,2017,81.81818181818183
529,bobbi,8,10,2017,37.5
530,bobbi,5,11,2017,100.0
531,bobbi,24,12,2017,95.83333333333334
532,nyx,49,1,2017,73.46938775510205
533,nyx,92,2,2017,81.52173913043478
534,nyx,60,3,2017,80.0
535,nyx,72,4,2017,84.72222222222221
536,nyx,44,5,2017,86.36363636363636
537,nyx,48,6,2017,85.41666666666666
538,nyx,61,7,2017,85.24590163934425
539,nyx,81,8,2017,81.48148148148148
540,nyx,71,9,2017,67.6056338028169
541,nyx,61,10,2017,81.9672131147541
542,nyx,75,11,2017,84.0
543,nyx,70,12,2017,77.14285714285715
544,e,1,3,2017,0.0
545,e,4,5,2017,100.0
546,kodiake,4,5,2017,100.0
547,inglot,2,1,2017,100.0
548,inglot,4,2,2017,100.0
549,inglot,6,5,2017,100.0
550,inglot,13,9,2017,92.3076923076923
551,inglot,10,10,2017,90.0
552,inglot,7,11,2017,57.14285714285714
553,inglot,2,12,2017,100.0
554,l,5,12,2017,100.0
555,natio,2,2,2017,100.0
556,natio,5,6,2017,80.0
557,biotique,11,1,2017,81.81818181818183
558,biotique,44,2,2017,56.81818181818182
559,biotique,26,3,2017,73.07692307692307
560,biotique,42,4,2017,78.57142857142857
561,biotique,10,5,2017,60.0
562,biotique,22,6,2017,54.54545454545454
563,biotique,51,7,2017,62.745098039215684
564,biotique,16,8,2017,75.0
565,biotique,44,9,2017,75.0
566,biotique,88,10,2017,60.22727272727273
567,biotique,33,11,2017,78.78787878787878
568,biotique,54,12,2017,85.18518518518519
569,elle,125,1,2017,88.0
570,elle,94,2,2017,78.72340425531915
571,elle,166,3,2017,86.14457831325302
572,elle,150,4,2017,86.0
573,elle,209,5,2017,75.11961722488039
574,elle,187,6,2017,76.47058823529412
575,elle,119,7,2017,79.83193277310924
576,elle,193,8,2017,79.79274611398964
577,elle,215,9,2017,76.74418604651163
578,elle,133,10,2017,78.94736842105263
579,elle,89,11,2017,85.39325842696628
580,elle,90,12,2017,80.0
581,emaxdesign,1,7,2017,100.0
582,color,6,1,2017,16.666666666666664
583,color,5,2,2017,20.0
584,color,1,3,2017,0.0
585,color,4,5,2017,0.0
586,color,2,6,2017,50.0
587,color,2,12,2017,0.0
588,extreme,6,7,2017,16.666666666666664
589,extreme,1,8,2017,0.0
590,extreme,6,10,2017,33.33333333333333
591,extreme,1,11,2017,100.0
592,transparent,4,3,2017,75.0
593,transparent,1,6,2017,0.0
594,transparent,1,11,2017,100.0
595,girl,1,8,2017,100.0
596,simply,2,1,2017,50.0
597,simply,5,4,2017,100.0
598,simply,4,5,2017,100.0
599,simply,9,7,2017,77.77777777777779
600,kiss,11,1,2017,72.72727272727273
601,kiss,11,2,2017,54.54545454545454
602,kiss,2,3,2017,100.0
603,kiss,2,4,2017,100.0
604,kiss,4,6,2017,0.0
605,kiss,7,7,2017,0.0
606,kiss,2,9,2017,50.0
607,beauty,5,1,2017,80.0
608,beauty,5,2,2017,20.0
609,beauty,9,5,2017,88.88888888888889
610,beauty,5,10,2017,40.0
611,beauty,3,11,2017,0.0
612,heavens,4,2,2017,50.0
613,heavens,21,4,2017,76.19047619047619
614,heavens,4,6,2017,25.0
615,heavens,1,9,2017,100.0
616,heavens,6,10,2017,16.666666666666664
617,neev,7,4,2017,14.285714285714285
618,neev,7,7,2017,14.285714285714285
619,neev,9,12,2017,66.66666666666666
620,liner,1,2,2017,0.0
621,liner,4,3,2017,75.0
622,liner,4,5,2017,25.0
623,liner,7,9,2017,14.285714285714285
624,elenblu,7,3,2017,100.0
625,elenblu,11,5,2017,54.54545454545454
626,elenblu,1,7,2017,100.0
627,elenblu,3,8,2017,100.0
628,elenblu,1,10,2017,0.0
