source_product_id,source,1star_count,2star_count,3star_count,4star_count,5star_count,total_count,average_5star,average_pct
ESDE3WR8BFRB75E8,1,1,0,0,0,0,1,1.0,0.0
ESDE4GFBGSYAQG8Z,1,0,0,0,1,0,1,4.0,75.0
ESDE5MFDACSHDEHR,1,12,2,2,5,7,28,2.75,43.75
ESDE5MFDRA4JUZ8Y,1,0,0,1,1,0,2,3.5,62.5
ESDE5MFDVKJHAUNJ,1,4,0,1,4,2,11,3.0,50.0
ESDE8P937VSHAPZD,1,2,0,1,7,7,17,4.0,75.0
ESDE9A8QX3CGMGE8,1,1,0,0,0,0,1,1.0,0.0
ESDEA2H4SESHY7GK,1,0,2,2,2,0,6,3.0,50.0
ESDEAM7QWQRUS9Z3,1,1,0,0,2,1,4,3.5,62.5
ESDEAMHPSMPVSP4J,1,1,0,0,1,0,2,2.5,37.5
ESDEAXBWXMFHKHVS,1,2,1,0,1,6,10,3.8,70.0
ESDEAZ6FG6CNTMSX,1,0,0,1,0,0,1,3.0,50.0
ESDEBGGRPRFTDXVA,1,0,0,0,2,6,8,4.75,93.75
ESDEBGGRUZEHKESZ,1,0,0,0,2,1,3,4.333,83.325
ESDEBHWTHJPXNV3Z,1,1,0,0,0,1,2,3.0,50.0
ESDECF9MMYZTSBNC,1,0,2,0,1,7,10,4.3,82.5
ESDECH27HYGZSTY8,1,5,2,1,3,4,15,2.933,48.325
ESDECJF7WMZDVAQK,1,3,1,5,1,3,13,3.0,50.0
ESDEDKGJZGD8JDQY,1,0,0,0,2,0,2,4.0,75.0
ESDEDNYBNHBXSNYN,1,1,0,0,0,0,1,1.0,0.0
ESDEE9FV9RNSREQ4,1,0,0,0,1,0,1,4.0,75.0
ESDEES7EEHRHVCF7,1,14,0,2,0,2,18,1.667,16.675
ESDEES7EZRDBSEAA,1,4,0,0,0,1,5,1.8,20.0
ESDEFZYFV7VBDHZD,1,0,1,0,0,4,5,4.4,85.0
ESDEG77XH6G6PMCK,1,3,0,0,0,13,16,4.25,81.25
ESDEGNRRPMBUJ7GF,1,0,0,1,9,3,13,4.154,78.85
ESDEKRVVZZPMJNZ4,1,0,0,1,0,1,2,4.0,75.0
ESDEKTTC85Y6ZTYQ,1,10,1,15,14,21,61,3.574,64.35
ESDEYFCYPDFESH5P,1,3,0,1,0,0,4,1.5,12.5
KJLE2EMYDDUKVC8X,1,1,0,0,0,0,1,1.0,0.0
KJLE4BD3EP9WYTCD,1,2,0,0,0,3,5,3.4,60.0
KJLEBHZ8CUGHG6R7,1,4,0,0,0,0,4,1.0,0.0
KJLEEP38QMAGUYFK,1,0,1,0,0,0,1,2.0,25.0
KJLEFWW9FP9JWARK,1,1,1,0,0,0,2,1.5,12.5
KJLEG6ZKSTPCGMHT,1,4,1,0,0,1,6,1.833,20.825
KJLEG7PTZ3HSNGX8,1,8,0,0,0,2,10,1.8,20.0
KJLEHDCCDY2NSPGJ,1,2,0,0,1,2,5,3.2,55.0
KJLEHMKXXNSHZE8Z,1,2,0,0,0,3,5,3.4,60.0
KJLEHTHYZEVRMTAH,1,24,7,3,4,6,44,2.114,27.85
KJLEHZXVTYURBGCN,1,7,1,0,1,3,12,2.333,33.325
KJLEKBY3RUK4SXPH,1,7,1,0,0,0,8,1.125,3.125
KJLEKHECGZKZEYAA,1,0,1,0,0,0,1,2.0,25.0
MCRD96JBZGEUGGEU,1,2,0,0,3,1,6,3.167,54.175
MCRD9N8QZQCHBTJT,1,2,1,8,5,13,29,3.897,72.425
MCRDTQ8MHZV4EJ9Z,1,0,0,0,0,1,1,5.0,100.0
MCRDW3YZWF7MGVUA,1,1,0,0,0,0,1,1.0,0.0
MCRE2PJ7JGWYFXGW,1,1,1,2,2,2,8,3.375,59.375
MCRE4HB7JFHYEFYX,1,1,0,2,0,1,4,3.0,50.0
MCRE6WB2BA93XJWC,1,4,0,1,2,3,10,3.0,50.0
MCREAF2ZTZFHZMZ6,1,1,0,1,1,0,3,2.667,41.675
MCREAFZKXXRGSXSZ,1,2,0,0,0,2,4,3.0,50.0
MCREBJHYMC9CSY7C,1,1,0,0,0,0,1,1.0,0.0
MCRECU3BWMFGWZVH,1,2,0,0,1,0,3,2.0,25.0
MCREDNU5M8HYRK9Y,1,1,1,0,1,0,3,2.333,33.325
MCREE5SZCAACVXJE,1,1,0,0,0,1,2,3.0,50.0
MCREEAMAAU8PG6EE,1,4,1,0,2,0,7,2.0,25.0
MCREEB7Y5KSKP8TV,1,0,0,0,1,0,1,4.0,75.0
MCREF7MGG7PBTN9S,1,1,0,0,0,0,1,1.0,0.0
MCREF7MGWQM6TFEV,1,0,0,1,2,0,3,3.667,66.675
MCREHDS8SV7ESGVN,1,0,1,1,0,0,2,2.5,37.5
MCREHJ9QE2AHGGDP,1,1,0,0,0,0,1,1.0,0.0
MCREJPU62YFDYEH6,1,2,0,3,1,2,8,3.125,53.125
B006LXDV1A,1,0,1,1,2,3,7,4.0,75.0
B0078207LU,1,1,1,0,0,0,2,1.5,12.5
B007AS4X2G,1,0,0,0,1,1,2,4.5,87.5
B00853EXUM,1,1,0,0,0,0,1,1.0,0.0
B008X75CYQ,1,0,0,0,0,1,1,5.0,100.0
B00EI4CDMM,1,0,0,0,0,1,1,5.0,100.0
B00FJWRHCI,1,2,0,0,0,1,3,2.333,33.325
B00GTB5VO4,1,1,0,0,0,0,1,1.0,0.0
B00GTB5Y1Y,1,1,0,0,0,0,1,1.0,0.0
B00HWR1PQC,1,0,0,0,0,3,3,5.0,100.0
B00JEK106A,1,4,0,1,0,3,8,2.75,43.75
B00JOET2TS,1,2,2,1,0,2,7,2.714,42.85
B00PQO61IU,1,0,0,1,0,1,2,4.0,75.0
B00VE1HM0A,1,2,0,1,0,0,3,1.667,16.675
B00XYEL17A,1,2,0,1,0,1,4,2.5,37.5
B00XYGA8HC,1,1,1,0,0,0,2,1.5,12.5
B013EPHC76,1,1,1,1,1,2,6,3.333,58.325
B016UT0C9I,1,4,0,0,0,0,4,1.0,0.0
B016UT0JVE,1,4,0,0,0,1,5,1.8,20.0
B01CE5J17G,1,1,0,0,1,2,4,3.75,68.75
B01DNTKXN8,1,1,0,0,0,0,1,1.0,0.0
B01F25HCFS,1,2,0,0,0,0,2,1.0,0.0
B01FE59U3I,1,0,0,2,0,3,5,4.2,80.0
B01FE5W8PA,1,0,1,1,0,0,2,2.5,37.5
B01G3T5LT6,1,0,0,0,0,1,1,5.0,100.0
B01GEBDOUQ,1,1,0,0,0,0,1,1.0,0.0
B01H70SMVE,1,1,1,0,0,0,2,1.5,12.5
B01I2VCU6U,1,1,0,0,0,0,1,1.0,0.0
B01KCCIJ58,1,1,1,0,0,0,2,1.5,12.5
B01LLRP4WE,1,1,0,1,0,2,4,3.5,62.5
B01LZ9EVT6,1,1,1,0,0,0,2,1.5,12.5
B01M7MO1U0,1,4,0,1,1,2,8,2.625,40.625
244937108,1,0,0,0,0,1,1,5.0,100.0
2145187845,1,0,0,0,0,2,2,5.0,100.0
42337616,1,1,0,0,1,0,2,2.5,37.5
751295160,1,2,0,0,1,0,3,2.0,25.0
345034712,1,0,0,1,0,0,1,3.0,50.0
261806250,1,0,0,0,0,2,2,5.0,100.0
787274304,1,0,0,2,0,1,3,3.667,66.675
621442142386,1,0,0,0,0,1,1,5.0,100.0
654120711650,1,0,0,1,0,1,2,4.0,75.0
632911877053,1,0,0,0,1,5,6,4.833,95.825
682563445141,1,0,0,0,0,1,1,5.0,100.0
686031391,1,0,0,0,0,2,2,5.0,100.0
30888,1,0,0,0,1,2,3,4.667,91.675
682767416485,1,0,0,0,0,1,1,5.0,100.0
659771776773,1,0,0,1,0,5,6,4.667,91.675
620580915612,1,0,0,0,0,1,1,5.0,100.0
719766881,1,0,0,0,1,2,3,4.667,91.675
1476361998,1,0,0,0,2,2,4,4.5,87.5
1719666636,1,0,0,0,1,1,2,4.5,87.5
1035015968,1,0,0,1,1,1,3,4.0,75.0
654486689046,1,0,0,0,0,1,1,5.0,100.0
1188487725,1,1,0,0,0,1,2,3.0,50.0
661824764619,1,0,0,0,0,1,1,5.0,100.0
1454742269,1,0,0,0,0,1,1,5.0,100.0
683679674988,1,1,1,0,1,5,8,4.0,75.0
648082547937,1,2,1,1,0,1,5,2.4,35.0
680558314758,1,1,0,0,0,0,1,1.0,0.0
1259278,1,0,1,0,0,0,1,2.0,25.0
1351089,1,1,0,0,0,0,1,1.0,0.0
678969534305,1,0,1,0,1,0,2,3.0,50.0
665890179973,1,0,0,1,1,0,2,3.5,62.5
670948243354,1,1,0,0,0,0,1,1.0,0.0
1894772070,1,1,0,0,1,1,3,3.333,58.325
621374252212,1,0,0,1,0,0,1,3.0,50.0
642336487902,1,0,0,0,0,2,2,5.0,100.0
ELRD96GNB4ZZGJG9,1,1,0,0,1,0,2,2.5,37.5
ELRE292Z95KS7EPQ,1,0,0,0,0,1,1,5.0,100.0
ELRE292ZQFCVDVG5,1,1,0,0,0,0,1,1.0,0.0
ELRE3RJZQAAUTAGH,1,1,0,0,0,0,1,1.0,0.0
ELRE3SGPHPWEH57N,1,1,0,0,0,0,1,1.0,0.0
ELRE4MNQTRQVFNEK,1,0,0,0,0,1,1,5.0,100.0
ELRE5GGTKJTCGRCG,1,0,0,1,0,6,7,4.714,92.85
ELRE5VBPJHZUNQYY,1,0,1,0,0,0,1,2.0,25.0
ELRE6Y3HMJ8BYD7Z,1,1,0,0,0,0,1,1.0,0.0
ELRE6YPWB7WHANG6,1,2,0,0,0,0,2,1.0,0.0
ELREAN43MHRVWGH5,1,0,0,0,1,1,2,4.5,87.5
ELREB7C52UHYKUWM,1,1,0,0,1,0,2,2.5,37.5
ELREBHYYTMQBRBWF,1,2,1,0,1,1,5,2.6,40.0
ELRECEJ8M7AGSGGZ,1,2,0,0,0,0,2,1.0,0.0
ELRED4YZGZRRJGQ3,1,1,0,0,0,0,1,1.0,0.0
ELREDWZ63PTUVERP,1,0,1,0,0,0,1,2.0,25.0
ELREF7MGMKYWSRWY,1,1,0,1,0,1,3,3.0,50.0
ELREFHYSPCXTTNTA,1,1,0,0,1,1,3,3.333,58.325
ELREFUY4T84HH3HM,1,1,0,0,0,2,3,3.667,66.675
ELREFWW9QKYJZXU9,1,0,1,0,0,1,2,3.5,62.5
ELREG2QYNFGKXTFR,1,0,1,0,0,1,2,3.5,62.5
ELREGDV8ZZTBBK9R,1,0,0,0,0,1,1,5.0,100.0
ELREGNRVFVFHVFTM,1,1,0,0,0,3,4,4.0,75.0
ELREGZTXCRGGQDWH,1,0,0,2,4,7,13,4.385,84.625
ELREJH3THGFB57KW,1,0,0,0,2,0,2,4.0,75.0
ELREJUH5RMGZVVHC,1,1,0,1,0,0,2,2.0,25.0
ELREJWCXQXUZ3GN7,1,1,0,0,3,2,6,3.833,70.825
ELREKYPACHHZBHAT,1,1,0,0,1,0,2,2.5,37.5
